150.236.4.230, 2014-02-12 15:49:17, GET, /learnWord/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:49:17, GET, /learnWord/static/css/web2py_bootstrap_nojs.css, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:49:17, GET, /learnWord/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.006000
150.236.4.230, 2014-02-12 15:49:17, GET, /learnWord/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.004000
150.236.4.230, 2014-02-12 15:49:17, GET, /learnWord/static/js/share.js, HTTP/1.1, 200, 0.006000
150.236.4.230, 2014-02-12 15:49:38, GET, /learnWord/default/index, HTTP/1.1, 200, 0.068000
150.236.4.230, 2014-02-12 15:50:16, GET, /learnWord/default/index, HTTP/1.1, 200, 0.036000
150.236.4.230, 2014-02-12 15:50:16, GET, /learnWord/static/js/ckeditor/ckeditor.js, HTTP/1.1, 200, 0.011000
150.236.4.230, 2014-02-12 15:50:16, GET, /learnWord/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.014000
150.236.4.230, 2014-02-12 15:50:16, GET, /learnWord/static/js/tinymce/tinymce.min.js, HTTP/1.1, 200, 0.017000
150.236.4.230, 2014-02-12 15:50:16, GET, /learnWord/static/js/jquery.js, HTTP/1.1, 200, 0.010000
150.236.4.230, 2014-02-12 15:50:16, GET, /learnWord/static/js/web2py.js, HTTP/1.1, 200, 0.005000
00
150.236.4.230, 2014-02-12 15:50:16, GET, /learnWord/static/css/web2py.css, HTTP/1.1, 200, 0.003000
150.236.4.230, 2014-02-12 15:50:16, GET, /learnWord/static/js/calendar.js, HTTP/1.1, 200, 0.003000
150.236.4.230, 2014-02-12 15:50:16, GET, /learnWord/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:18, GET, /learnWord/default/index, HTTP/1.1, 200, 0.038000
150.236.4.230, 2014-02-12 15:50:25, GET, /learnWord, HTTP/1.1, 200, 0.033000
150.236.4.230, 2014-02-12 15:50:25, GET, /learnWord/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:50:25, GET, /learnWord/static/css/calendar.css, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:50:25, GET, /learnWord/static/css/web2py.css, HTTP/1.1, 304, 0.002000
150.236.4.230, 2014-02-12 15:50:25, GET, /learnWord/static/js/tinymce/tinymce.min.js, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:50:25, GET, /learnWord/static/js/ckeditor/ckeditor.js, HTTP/1.1, 304, 0.003000
150.236.4.230, 2014-02-12 15:50:25, GET, /learnWord/static/js/jquery.js, HTTP/1.1, 304, 0.002000
150.236.4.230, 2014-02-12 15:50:25, GET, /learnWord/static/js/calendar.js, HTTP/1.1, 304, 0.002000
150.236.4.230, 2014-02-12 15:50:36, GET, /welcome, HTTP/1.1, 200, 0.095000
150.236.4.230, 2014-02-12 15:50:36, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.007000
150.236.4.230, 2014-02-12 15:50:36, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.006000
150.236.4.230, 2014-02-12 15:50:36, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.012000
150.236.4.230, 2014-02-12 15:50:36, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.012000
150.236.4.230, 2014-02-12 15:50:36, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.008000
150.236.4.230, 2014-02-12 15:50:36, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.008000
150.236.4.230, 2014-02-12 15:50:36, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.009000
150.236.4.230, 2014-02-12 15:50:36, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.011000
150.236.4.230, 2014-02-12 15:50:41, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:50:41, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:50:41, GET, /welcome/static/css/web2py_bootstrap_nojs.css, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:50:41, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:41, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:50:41, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:42, GET, /learnWord/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:50:42, GET, /learnWord/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.007000
150.236.4.230, 2014-02-12 15:50:42, GET, /learnWord/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.008000
150.236.4.230, 2014-02-12 15:50:42, GET, /learnWord/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.012000
150.236.4.230, 2014-02-12 15:50:42, GET, /learnWord/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:50:42, GET, /learnWord/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.008000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.008000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.003000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.006000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/js/share.js, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:50:43, GET, /learnWord/static/js/share.js, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:50:46, GET, /learnWord/static/js/share.js, HTTP/1.1, 200, 0.003000
150.236.4.230, 2014-02-12 15:50:46, GET, /learnWord/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:46, GET, /learnWord/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:50:46, GET, /learnWord/static/js/share.js, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:50:46, GET, /learnWord/static/js/share.js, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:50:46, GET, /learnWord/static/js/share.js, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:48, GET, /learnWord/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:50:48, GET, /learnWord/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.003000
150.236.4.230, 2014-02-12 15:50:48, GET, /learnWord, HTTP/1.1, 200, 0.044000
150.236.4.230, 2014-02-12 15:50:48, GET, /learnWord/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:48, GET, /learnWord/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:48, GET, /learnWord/static/js/share.js, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:50:51, GET, /learnWord/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:50:51, GET, /learnWord/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
150.236.4.230, 2014-02-12 15:50:51, GET, /learnWord/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
150.236.4.230, 2014-02-12 15:50:52, GET, /learnWord/static/images/twitter.png, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:52, GET, /learnWord/static/images/facebook.png, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:52, GET, /learnWord/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:50:59, GET, /learnWord/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:51:00, GET, /learnWord/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:51:05, GET, /learnWord/default/user/login, HTTP/1.1, 302, 0.038000
150.236.4.230, 2014-02-12 15:51:44, GET, /learnWord, HTTP/1.1, 200, 0.028000
150.236.4.230, 2014-02-12 15:51:44, GET, /learnWord/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:51:44, GET, /learnWord/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
150.236.4.230, 2014-02-12 15:51:44, GET, /learnWord/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.006000
150.236.4.230, 2014-02-12 15:51:44, GET, /learnWord/static/css/web2py_bootstrap_nojs.css, HTTP/1.1, 200, 0.007000
150.236.4.230, 2014-02-12 15:51:44, GET, /learnWord/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.006000
150.236.4.230, 2014-02-12 15:51:44, GET, /learnWord/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:51:44, GET, /learnWord/static/js/share.js, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:52:07, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:52:13, GET, /learnWord/default/user/login, HTTP/1.1, 302, 0.020000
150.236.4.230, 2014-02-12 15:52:14, GET, /learnWord/default/user/login, HTTP/1.1, 500, 1.123000
150.236.4.230, 2014-02-12 15:52:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
150.236.4.230, 2014-02-12 15:52:15, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
150.236.4.230, 2014-02-12 15:52:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
150.236.4.230, 2014-02-12 15:52:51, GET, /learnWord, HTTP/1.1, 200, 0.030000
150.236.4.230, 2014-02-12 15:53:43, GET, /learnWord/static/js/share.js, HTTP/1.1, 200, 0.004000
/1.1, 200, 0.004000
150.236.4.230, 2014-02-12 15:53:43, GET, /learnWord/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.005000
150.236.4.230, 2014-02-12 15:53:44, GET, /learnWord/static/js/share.js, HTTP/1.1, 200, 0.007000
150.236.4.230, 2014-02-12 15:53:44, GET, /learnWord/static/js/share.js, HTTP/1.1, 200, 0.007000
150.236.4.230, 2014-02-12 15:53:44, GET, /learnWord/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.006000
150.236.4.230, 2014-02-12 15:53:44, GET, /learnWord/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.007000
150.236.4.230, 2014-02-12 15:53:44, GET, /learnWord/static/js/share.js, HTTP/1.1, 200, 0.012000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord, HTTP/1.1, 200, 0.050000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/css/calendar.css, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/css/web2py.css, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.005000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.007000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/js/tinymce/tinymce.min.js, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/js/jquery.js, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/js/ckeditor/ckeditor.js, HTTP/1.1, 304, 0.000000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/js/calendar.js, HTTP/1.1, 304, 0.000000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/js/web2py.js, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/js/share.js, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/images/twitter.png, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/images/facebook.png, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:55:12, GET, /learnWord/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:55:13, GET, /learnWord/static/images/favicon.ico, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:55:15, GET, /learnWord, HTTP/1.1, 200, 0.028000
150.236.4.230, 2014-02-12 15:55:24, GET, /learnWord, HTTP/1.1, 200, 0.029000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord, HTTP/1.1, 200, 0.033000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/css/calendar.css, HTTP/1.1, 304, 0.002000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/css/web2py.css, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/js/ckeditor/ckeditor.js, HTTP/1.1, 304, 0.000000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/js/tinymce/tinymce.min.js, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/js/jquery.js, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/js/calendar.js, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/js/web2py.js, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/js/share.js, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/images/twitter.png, HTTP/1.1, 200, 0.000000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/images/facebook.png, HTTP/1.1, 200, 0.001000
